,state,sat_participation_17,sat_score_17,act_participation_17,act_composite_17
0,Alabama,5.0,1165.0,100.0,19.2
1,Alaska,38.0,1080.0,65.0,19.8
2,Arizona,30.0,1116.0,62.0,19.7
3,Arkansas,3.0,1208.0,100.0,19.4
4,California,53.0,1055.0,31.0,22.8
5,Colorado,11.0,1201.0,100.0,20.8
6,Connecticut,100.0,1041.0,31.0,25.2
7,Delaware,100.0,996.0,18.0,24.1
8,District of Columbia,100.0,950.0,32.0,24.2
9,Florida,83.0,1017.0,73.0,19.8
10,Georgia,61.0,1050.0,55.0,21.4
11,Hawaii,55.0,1085.0,90.0,19.0
12,Idaho,93.0,1005.0,38.0,22.3
13,Illinois,9.0,1115.0,93.0,21.4
14,Indiana,63.0,1074.0,35.0,22.6
15,Iowa,2.0,1275.0,67.0,21.9
16,Kansas,4.0,1260.0,73.0,21.7
17,Kentucky,4.0,1247.0,100.0,20.0
18,Louisiana,4.0,1198.0,100.0,19.5
19,Maine,95.0,1012.0,8.0,24.3
20,Maryland,69.0,1060.0,28.0,23.6
21,Massachusetts,76.0,1107.0,29.0,25.4
22,Michigan,100.0,1005.0,29.0,24.1
23,Minnesota,3.0,1295.0,100.0,21.5
24,Mississippi,2.0,1242.0,100.0,18.6
25,Missouri,3.0,1271.0,100.0,20.4
26,Montana,10.0,1196.0,100.0,20.3
27,Nebraska,3.0,1253.0,84.0,21.4
28,Nevada,26.0,1116.0,100.0,17.8
29,New Hampshire,96.0,1052.0,18.0,25.5
30,New Jersey,70.0,1056.0,34.0,23.9
31,New Mexico,11.0,1138.0,66.0,19.7
32,New York,67.0,1052.0,31.0,24.2
33,North Carolina,49.0,1081.0,100.0,19.1
34,North Dakota,2.0,1256.0,98.0,20.3
35,Ohio,12.0,1149.0,75.0,22.0
36,Oklahoma,7.0,1047.0,100.0,19.4
37,Oregon,43.0,1108.0,40.0,21.8
38,Pennsylvania,65.0,1071.0,23.0,23.7
39,Rhode Island,71.0,1062.0,21.0,24.0
40,South Carolina,50.0,1064.0,100.0,18.7
41,South Dakota,3.0,1216.0,80.0,21.8
42,Tennessee,5.0,1228.0,100.0,19.8
43,Texas,62.0,1020.0,45.0,20.7
44,Utah,3.0,1238.0,100.0,20.3
45,Vermont,60.0,1114.0,29.0,23.6
46,Virginia,65.0,1102.0,29.0,23.8
47,Washington,64.0,1075.0,29.0,21.9
48,West Virginia,14.0,1086.0,69.0,20.4
49,Wisconsin,3.0,1291.0,100.0,20.5
50,Wyoming,3.0,1230.0,100.0,20.2
